,mdy,Sentiment
0,2022-03-07,0.494
1,2022-03-08,0.512
2,2022-03-09,0.573
3,2022-03-10,0.514
4,2022-03-11,0.541
5,2022-03-12,0.50795335
6,2022-03-13,0.5375661
7,2022-03-14,0.528
8,2022-03-15,0.528
9,2022-03-16,0.552
10,2022-03-17,0.596
11,2022-03-18,0.578
12,2022-03-19,0.5784114
13,2022-03-20,0.5522067
14,2022-03-21,0.54
15,2022-03-22,0.583
16,2022-03-23,0.578
17,2022-03-24,0.556
18,2022-03-25,0.539
19,2022-03-26,0.53781515
20,2022-03-27,0.56
21,2022-03-28,0.574
22,2022-03-29,0.536
23,2022-03-30,0.585
24,2022-03-31,0.563
25,2022-04-01,0.583
26,2022-04-02,0.602
27,2022-04-03,0.608
28,2022-04-04,0.561
29,2022-04-05,0.596
30,2022-04-06,0.6
31,2022-04-07,0.595
32,2022-04-08,0.612
33,2022-04-09,0.6
34,2022-04-10,0.574
35,2022-04-11,0.521
36,2022-04-12,0.541
37,2022-04-13,0.572
38,2022-04-14,0.567
39,2022-04-15,0.588
40,2022-04-16,0.594
41,2022-04-17,0.583
42,2022-04-18,0.546
43,2022-04-19,0.6
44,2022-04-20,0.599
45,2022-04-21,0.552
46,2022-04-22,0.54
47,2022-04-23,0.606
48,2022-04-24,0.593
49,2022-04-25,0.571
50,2022-04-26,0.576
51,2022-04-27,0.592
52,2022-04-28,0.578
53,2022-04-29,0.536
54,2022-04-30,0.552
55,2022-05-01,0.574
56,2022-05-02,0.58
57,2022-05-03,0.537
58,2022-05-04,0.564
59,2022-05-05,0.464
60,2022-05-06,0.522
61,2022-05-07,0.563
62,2022-05-08,0.515
63,2022-05-09,0.498
64,2022-05-10,0.523
65,2022-05-11,0.499
66,2022-05-12,0.504
67,2022-05-13,0.56
68,2022-05-14,0.545
69,2022-05-15,0.572
70,2022-05-16,0.523
71,2022-05-17,0.564
72,2022-05-18,0.561
73,2022-05-19,0.539
74,2022-05-20,0.559
75,2022-05-21,0.605
76,2022-05-22,0.668
77,2022-05-23,0.58
78,2022-05-24,0.588
79,2022-05-25,0.545
80,2022-05-26,0.565
81,2022-05-27,0.54
82,2022-05-28,0.558
83,2022-05-29,0.564
84,2022-05-30,0.565
85,2022-05-31,0.586
86,2022-06-01,0.563
87,2022-06-02,0.584
88,2022-06-03,0.52
89,2022-06-04,0.57894737
90,2022-06-05,0.598
91,2022-06-06,0.555
92,2022-06-07,0.57
93,2022-06-08,0.598
94,2022-06-09,0.587
95,2022-06-10,0.53
96,2022-06-11,0.56
97,2022-06-12,0.52
98,2022-06-13,0.454
99,2022-06-14,0.506
100,2022-06-15,0.505
101,2022-06-16,0.51
102,2022-06-17,0.482
103,2022-06-18,0.442
104,2022-06-19,0.487
105,2022-06-20,0.521
106,2022-06-21,0.57
107,2022-06-22,0.539
108,2022-06-23,0.567
109,2022-06-24,0.584
110,2022-06-25,0.595
111,2022-06-26,0.5685686
112,2022-06-27,0.581
113,2022-06-28,0.542
114,2022-06-29,0.541
115,2022-06-30,0.494
116,2022-07-01,0.575
117,2022-07-02,0.561
118,2022-07-03,0.556
119,2022-07-04,0.576
120,2022-07-05,0.5365365
121,2022-07-06,0.557
122,2022-07-07,0.578
123,2022-07-08,0.571
124,2022-07-09,0.58717436
125,2022-07-10,0.59217304
126,2022-07-11,0.532
127,2022-07-12,0.539
128,2022-07-13,0.484
129,2022-07-14,0.539
130,2022-07-15,0.596
131,2022-07-16,0.5925926
132,2022-07-17,0.588
133,2022-07-18,0.553
134,2022-07-19,0.545
135,2022-07-20,0.516
136,2022-07-21,0.574
137,2022-07-22,0.599
138,2022-07-23,0.567
139,2022-07-24,0.613
140,2022-07-25,0.565
141,2022-07-26,0.55
142,2022-07-27,0.552
143,2022-07-28,0.578
144,2022-07-29,0.575
145,2022-07-30,0.579
146,2022-07-31,0.573
147,2022-08-01,0.599
148,2022-08-02,0.583
149,2022-08-03,0.587
150,2022-08-04,0.57
151,2022-08-05,0.592
152,2022-08-06,0.577
153,2022-08-07,0.59591836
154,2022-08-08,0.553
155,2022-08-09,0.562
156,2022-08-10,0.557
157,2022-08-11,0.586
158,2022-08-12,0.609
159,2022-08-13,0.598
160,2022-08-14,0.571
161,2022-08-15,0.555
162,2022-08-16,0.593
163,2022-08-17,0.558
164,2022-08-18,0.576
165,2022-08-19,0.566
166,2022-08-20,0.546
167,2022-08-21,0.6029106
168,2022-08-22,0.584
169,2022-08-23,0.575
170,2022-08-24,0.604
171,2022-08-25,0.612
172,2022-08-26,0.569
173,2022-08-27,0.573
174,2022-08-28,0.586
175,2022-08-29,0.548
176,2022-08-31,0.574
177,2022-09-01,0.578
178,2022-09-02,0.592668
179,2022-09-03,0.5923913
180,2022-09-04,0.5875576
181,2022-09-05,0.614
182,2022-09-06,0.528
183,2022-09-07,0.557
184,2022-09-08,0.58
185,2022-09-09,0.574
186,2022-09-10,0.606
187,2022-09-11,0.6053812
188,2022-09-12,0.594
189,2022-09-13,0.504
190,2022-09-14,0.541
191,2022-09-15,0.559
192,2022-09-16,0.592
193,2022-09-17,0.57190263
194,2022-09-18,0.5878929
195,2022-09-19,0.533
196,2022-09-20,0.533
197,2022-09-21,0.5475475
198,2022-09-22,0.56
199,2022-09-23,0.532
200,2022-09-24,0.56662935
201,2022-09-25,0.56785715
202,2022-09-26,0.533
203,2022-09-27,0.545
204,2022-09-28,0.528
205,2022-09-29,0.521
206,2022-10-01,0.54756635
207,2022-10-02,0.53599113
208,2022-10-03,0.557
209,2022-10-04,0.573
210,2022-10-05,0.595
211,2022-10-06,0.5645646
212,2022-10-07,0.5835836
213,2022-10-08,0.5936436
214,2022-10-09,0.58450705
215,2022-10-10,0.544
216,2022-10-11,0.555
217,2022-10-12,0.567
218,2022-10-13,0.517
219,2022-10-14,0.564
220,2022-10-15,0.5650224
221,2022-10-16,0.5767327
222,2022-10-17,0.588
223,2022-10-18,0.541
224,2022-10-19,0.568
225,2022-10-20,0.5715726
226,2022-10-21,0.6056485
227,2022-10-22,0.59052247
228,2022-10-23,0.5891204
229,2022-10-24,0.5476695
230,2022-10-25,0.547
231,2022-10-26,0.542
232,2022-10-27,0.564
233,2022-10-28,0.61128205
234,2022-10-29,0.6
235,2022-10-30,0.592053
236,2022-10-31,0.614
237,2022-11-01,0.5920502
238,2022-11-02,0.5195195
239,2022-11-03,0.5421687
240,2022-11-04,0.555
241,2022-11-05,0.5492958
242,2022-11-06,0.58868897
243,2022-11-07,0.543
244,2022-11-08,0.456
245,2022-11-09,0.426
246,2022-11-10,0.527
247,2022-11-11,0.499
248,2022-11-12,0.483
249,2022-11-13,0.51
250,2022-11-14,0.506
251,2022-11-15,0.528
252,2022-11-16,0.501
253,2022-11-17,0.551
254,2022-11-18,0.547
255,2022-11-19,0.58275056
256,2022-11-20,0.55190676
257,2022-11-21,0.488
258,2022-11-22,0.545
259,2022-11-23,0.513
